,X,Y,nama,kode_rs,tempat_tidur,lat,lon,alamat,tipe,wilayah,city
218,104.016648,1.137349,RS IBU DAN ANAK FRISDHY ANGEL,2071057,25,1.137349,104.016648,"JALAN RADEN PATAH BLOK B NO. 1-3, LUBUK BAJA, LUBUK BAJA KOTA, KEC. LUBUK BAJA, KOTA BATAM, KEPULAUAN RIAU 29444",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
730,104.4395887,0.9235316,RS UMUM DAERAH PROVINSI KEPULAUAN RIAU TANJUNGPINA,2072002,178,0.9235316,104.4395887,JL. W.R SUPRATMAN NO. 100 KM. 8 TANJUNGPINANG KEPULAUAN RIAU,RS_RUJUKAN_NASIONAL,KEPULAUAN RIAU,KOTA TANJUNGPINANG
296,104.016642,1.1476540000000002,RS UMUM HARAPAN BUNDA BATAM,2071023,101,1.1476540000000002,104.016642,JL. SERAYA NO. 1 BATAM,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
616,104.0143588,1.1357623,RS UMUM SANTA ELISABETH BATAM KOTA,2071053,120,1.1357623,104.0143588,"JL. RAJA ALI KELANA, BELIAN BATAM KOTA",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
532,104.481,-0.5535, RS UMUM DAERAH DABO KABUPATEN LINGGA,2004012,48,-0.5535,104.481,"JL. KESEHATAN NO.1, DABO SINGKEP KABUPATEN LINGGA",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,LINGGA
329,104.441335,0.92632,RS UMUM AL DR MIDIYATO S,2072023,128,0.92632,104.441335,"JL. CIPTADI NO.1, TANJUNGPINANG KOTA, KOTA TANJUNG PINANG, KEPULAUAN RIAU",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA TANJUNGPINANG
984,106.219017,3.217648,RS UMUM DAERAH TAREMPA,2105005,26,3.217648,106.219017,"JL. IMAM BONJOL NO. 61, TAREMPA, KEC. SIANTAN",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KEPULAUAN ANAMBAS
325,104.016152,1.13593,RS UMUM SANTA ELISABETH BATAM,2071015,91,1.13593,104.016152,JL. ANGGREK BLOK II LUBUK BAJA,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
12,103.954,1.08719,RS BADAN PENGUSAHAAN BATAM,2071034,112,1.08719,103.954,"JL. DR. CIPTO MANGUNKUSUMO NO.1,  SEKUPANG,BATAM",RS_RUJUKAN_NASIONAL,KEPULAUAN RIAU,KOTA BATAM
327,106.10988600000002,-2.114138,RS UMUM BHAKTI TIMAH,2001045,76,-2.114138,106.10988600000002,"JALAN BUKIT BARU NO. 1, PANGKALPINANG, TAMAN BUNGA, GERUNGGANG, KABUPATEN BANGKA, KEPULAUAN BANGKA BELITUNG 33131",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KARIMUN
328,103.973954,1.045582,RS UMUM GRAHA HERMINE,2071050,103,1.045582,103.973954,KOMP. RUKO ASIH RAYA NO. 6-15 BATU AJI,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
332,104.442493,0.925669,RS UMUM DAERAH KOTA TANJUNG PINANG,2072012,125,0.925669,104.442493,"JL. SUDIRMAN NO.- 795, TANJUNGPINANG BAR., KOTA TANJUNG PINANG, KEPULAUAN RIAU",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA TANJUNGPINANG
331,104.12046,1.14388,RS BHAYANGKARA BATAM POLDA KEPRI,2171061,50,1.14388,104.12046,JL. DANG MERDU KM 2 BATU BESAR NONGSA KOTA BATAM,RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,KOTA BATAM
330,108.365849,3.936111,RS UMUM DAERAH NATUNA,2003011,80,3.936111,108.365849,"JL. ALI MURTOPO, RANAI KOTA, BUNGURAN TIM., KABUPATEN NATUNA, KEPULAUAN RIAU 29783",RS_RUJUKAN_PROVINSI,KEPULAUAN RIAU,NATUNA
965,105.094901,-4.495847,RS UMUM DAERAH TULANG BAWANG BARAT,1812003,0,-4.495847,105.094901,JL. DIPONEGORO PANARAGAN JAYA KEC. TULANG BAWANG TENGAH,RS_RUJUKAN_PROVINSI,LAMPUNG,TULANG BAWANG BARAT
790,105.079843,-5.386428,RS UMUM DAERAH PESAWARAN,1809002,85,-5.386428,105.079843,"GEDUNG TATAAN, KEC. GEDONG TATAAN, KABUPATEN PESAWARAN, LAMPUNG 35366",RS_RUJUKAN_PROVINSI,LAMPUNG,PESAWARAN
